#{"t_start": 1650214449.7470036, "env_id": null}
r,l,t
-1699.975679,1000,2.945672
-966.727278,1000,4.039011
-655.031094,1000,6.180883
-500.391779,1000,7.274862
-1157.405816,1000,9.440676
-1462.292605,1000,10.562585
-1133.565053,1000,12.717329
-1578.396062,1000,13.802925
-1090.599439,1000,15.942538
-1094.715655,1000,17.025016
-530.853861,1000,19.145365
-1394.111185,1000,20.238079
-1590.74089,1000,22.365146
-389.552693,1000,23.458649
-779.384908,1000,25.583516
-1028.688061,1000,26.659285
-802.140856,1000,28.764718
-650.004911,1000,29.853272
-512.842316,1000,31.987806
-771.067226,937,33.021274
-938.285132,1000,35.164194
-921.349456,1000,36.258429
-1242.668279,1000,38.390532
-685.341502,1000,39.483759
-1346.905033,1000,41.604022
-982.551937,1000,42.694571
-1294.395986,1000,44.807006
-1703.882117,1000,45.90348
-626.507446,1000,48.047963
-452.295527,1000,49.146501
-917.082236,1000,51.277498
-873.03113,1000,52.364494
-1379.290681,1000,54.459234
-610.22261,1000,55.539677
-482.617113,1000,57.665351
-1194.346787,1000,58.769734
-659.57191,1000,61.005392
-2146.345775,1000,62.186202
-489.859546,1000,64.341284
-1080.241616,1000,65.435319
-580.72467,1000,66.51854
-400.226333,1000,68.639167
-1350.92873,1000,69.745463
-571.159186,1000,71.860876
-1360.955334,1000,72.945596
-1437.209601,1000,75.060084
-547.293307,1000,76.145911
-507.772498,1000,78.272281
-531.918804,1000,79.371326
-1100.663092,1000,81.543102
-410.882144,928,82.661525
-588.509506,1000,85.033482
-913.802566,1000,86.218521
-1617.065665,1000,88.403032
-1369.474371,1000,89.508257
-1261.7939,1000,91.633054
-354.345008,1000,92.724541
-276.738847,1000,94.874927
-410.960576,1000,95.977559
-611.054587,1000,98.129469
-443.459782,1000,99.222046
-898.457408,1000,101.314174
-577.294272,1000,102.395129
-525.203399,1000,104.540391
-875.10993,1000,105.633645
-2221.59972,1000,107.870924
-413.516824,1000,108.976585
-722.653352,1000,111.132918
-436.744996,1000,112.206943
-465.788965,1000,114.322632
-659.272409,1000,115.450969
-954.498349,1000,117.604504
-345.088727,1000,118.695705
-1350.869709,1000,120.812802
-1634.048665,1000,121.921915
-1801.496209,1000,124.177876
