#{"t_start": 1650085634.1461265, "env_id": null}
r,l,t
-1106.536448,1000,2.919996
-713.264496,1000,3.989576
-1357.983904,1000,6.118859
-2253.901301,1000,7.194452
-978.700952,1000,9.295679
-686.453168,1000,10.412765
-798.108808,1000,12.479419
-898.389881,1000,13.544929
-1449.726275,1000,15.630732
-706.036429,1000,16.69623
-690.789348,1000,18.783477
-565.425667,1000,19.842916
-1092.866667,1000,21.894784
-1534.299872,1000,22.967585
-2248.550416,1000,25.048455
-1054.616342,1000,26.110772
-509.304038,1000,28.215563
-558.791286,1000,29.277555
-828.248939,1000,31.38842
-1107.635619,1000,32.449156
-3283.660308,1000,34.57066
-598.796353,1000,35.640797
-602.66881,1000,37.737514
-917.421119,1000,38.792698
-1779.866949,1000,40.928364
-570.395286,1000,42.069428
-810.11192,1000,44.151565
-1424.486481,1000,45.217892
-344.14271,1000,47.347697
-2817.496458,1000,48.476714
-2704.068425,1000,50.556554
-1412.676645,1000,51.619578
-1644.407108,1000,53.709058
-637.885767,1000,54.78059
-1769.084847,1000,56.926385
-1229.054662,1000,58.08782
-2463.100316,1000,60.275648
-829.223101,1000,61.371729
-419.463544,1000,63.492306
-616.711436,1000,64.571587
-1344.001313,1000,66.772835
-577.326437,1000,67.836504
-2576.47112,1000,68.887223
-3716.157992,1000,70.996722
-486.382678,1000,72.070651
-2060.628185,1000,74.190289
-565.543747,1000,75.253063
-1233.01042,1000,77.341856
-738.105925,1000,78.413333
-909.041314,1000,80.496547
-1766.271776,1000,81.56085
-931.797062,1000,83.638975
-1306.488415,1000,84.700439
-1511.352359,1000,86.882026
-672.846027,1000,87.95472
-2500.209462,1000,90.061708
-1008.639389,1000,91.143166
-1626.487174,1000,93.273743
-476.033874,1000,94.336042
-2326.222012,1000,96.444026
-509.100121,1000,97.535037
-2528.997975,1000,99.6636
-2275.136827,1000,100.730411
-466.245075,1000,102.79023
-511.638954,1000,103.854739
-1163.947594,1000,106.021036
-684.87847,1000,107.083542
-550.951927,1000,109.164112
-994.953506,1000,110.238573
-3263.615892,1000,112.329885
-869.00808,1000,113.387428
-1982.086318,1000,115.488764
-1993.648073,1000,116.542557
-452.916022,1000,118.611722
-2233.933465,1000,119.698006
-592.88156,1000,121.815876
-611.383985,1000,122.881967
-2177.268666,1000,125.079664
-572.16461,1000,126.144544
-3075.338866,1000,128.240565
-3825.709518,1000,129.302631
-1255.040301,1000,131.375955
-1003.498629,1000,132.460309
-1839.699114,1000,134.571924
-835.828511,1000,135.637866
-2430.435191,1000,136.713906
-2252.571343,1000,138.811561
-2413.207126,1000,139.853729
-1956.983302,1000,141.919109
-1070.854959,1000,142.974619
-465.008834,1000,145.150852
-451.584274,1000,146.2141
-1185.004846,1000,148.337752
-3376.373376,1000,149.417055
-1099.765373,1000,151.503597
-678.881504,1000,152.575496
-639.282446,1000,154.659613
-3532.223953,1000,155.749413
-1198.657918,1000,157.83325
-2294.876345,1000,158.886724
-1190.315515,1000,160.968876
-1882.330686,1000,162.023649
-2575.298527,1000,164.162788
-2415.031937,1000,165.245246
-3079.703519,1000,167.35184
-1119.825741,1000,168.417761
-3083.393069,1000,170.494486
-2610.874374,1000,171.579492
-1654.769192,1000,173.687787
-3267.766654,1000,174.763127
-256.689797,1000,176.880393
-3150.531874,1000,177.971537
-436.448665,1000,180.085504
-710.947857,1000,181.169731
-240.071626,1000,183.268575
-2732.753279,1000,184.346395
-557.009601,1000,186.466823
-3034.528537,1000,187.544353
-576.063171,1000,189.719992
-1807.984284,1000,190.776053
-799.323102,1000,192.874258
-531.980988,1000,193.953806
-413.59034,1000,196.031911
-734.998149,1000,197.108997
-728.118095,1000,199.18315
-460.461321,1000,200.234976
-1718.118167,1000,202.275481
-976.962174,1000,203.340118
-1824.483967,1000,204.419949
-682.849142,1000,206.510261
-1312.755865,1000,207.589018
-533.718105,1000,209.691106
-1783.043692,1000,210.762653
-1444.153208,1000,212.84655
-1436.853624,1000,213.913374
-938.26585,1000,215.999506
