#{"t_start": 1649976811.534285, "env_id": null}
r,l,t
-939.674632,1000,2.969813
-762.489786,1000,4.037395
-2255.054342,1000,6.104389
-778.223245,1000,7.150512
-1034.804374,1000,9.258898
-1109.388255,1000,10.383646
-1420.42967,1000,12.561119
-1328.613962,1000,13.622032
-1425.097956,1000,15.731956
-1581.675136,1000,16.785472
-617.832967,1000,18.859825
-716.424846,1000,19.917672
-726.214896,1000,22.023447
-1228.90553,1000,23.116224
-738.011555,1000,25.178087
-974.004385,1000,26.243793
-945.403709,1000,28.323045
-886.91481,1000,29.378324
-479.50689,1000,31.447961
-703.258155,1000,32.501604
-2201.5614,1000,34.619405
-1374.412881,1000,35.670936
-638.83387,1000,37.717048
-477.55973,1000,38.771215
-1181.925981,1000,40.826224
-515.582329,1000,41.885647
-858.779955,1000,43.963955
-2174.848658,1000,45.031429
-660.742722,1000,47.121768
-403.632072,1000,48.169573
-484.014824,1000,50.383597
-2352.361273,1000,51.430126
-1967.45185,1000,53.538445
-939.631028,1000,54.597104
-740.534691,1000,56.665117
-753.613474,1000,57.728062
-694.676023,1000,59.77142
-2453.333922,1000,60.826734
-552.356242,1000,62.872941
-768.032995,1000,63.927201
-1097.149722,1000,65.978308
-689.405967,1000,67.031626
-1595.679551,1000,68.08547
-1420.215643,1000,70.141841
-1152.44366,1000,71.208599
-409.955634,1000,73.257654
-602.924159,1000,74.317077
-496.352603,1000,76.369128
-998.852812,1000,77.429455
-782.366581,1000,79.500207
-966.252075,1000,80.665724
-1850.559398,1000,82.71158
-708.097811,1000,83.77127
-1843.82983,1000,85.824162
-1330.922315,1000,86.927807
-900.903467,1000,89.030827
-1945.346953,1000,90.077563
-320.458607,1000,92.136591
-562.386989,1000,93.188002
-930.057094,1000,95.242258
-696.384686,1000,96.297719
-2563.62763,1000,98.429786
-1171.057836,1000,99.490398
-2034.278974,1000,101.590084
-518.893033,1000,102.659531
-1124.644823,1000,104.741437
-1665.650937,1000,105.800281
-463.8712,1000,107.87378
-807.369989,1000,108.932146
-2611.885081,1000,110.992208
-477.529899,1000,112.058575
-904.641352,1000,114.136313
-921.466599,1000,115.201306
-1731.557015,1000,117.277206
-671.644549,1000,118.334772
-1221.430163,1000,120.45552
-2699.099265,1000,121.509982
-1355.215363,1000,123.574118
-470.41718,1000,124.630327
-1169.869012,1000,126.721134
-472.505384,1000,127.798901
-640.004064,1000,129.919344
-1661.371618,1000,130.979568
-856.858008,1000,133.066626
-1362.579936,1000,134.124677
-220.918897,1000,135.183562
-898.936327,1000,137.298523
-2225.017888,1000,138.370959
-548.090977,1000,140.487229
-688.531347,1000,141.560329
-1324.778955,1000,143.660744
-1040.9881,1000,144.723138
-1488.90606,1000,146.800669
-692.88642,1000,147.911142
-863.967911,1000,150.073223
-1485.941991,1000,151.155473
-699.66199,1000,153.254648
-979.513812,1000,154.314915
-1177.149626,1000,156.392221
-2292.944894,1000,157.455326
-776.806924,1000,159.555342
-447.93636,1000,160.625944
-978.095551,1000,162.739944
-521.611399,1000,163.801155
-757.988964,1000,165.893633
-1078.313106,1000,166.957903
-292.936474,1000,169.038094
-251.226857,1000,170.102892
-1839.818142,1000,172.154598
-1000.080374,1000,173.213492
-305.244201,1000,175.328044
-687.631296,1000,176.402137
-904.469054,1000,178.511622
-452.380393,1000,179.594755
-475.116856,1000,181.881716
-304.577533,1000,183.003436
-250.693,1000,185.177056
-484.225142,1000,186.254813
