#{"t_start": 1649897248.270073, "env_id": null}
r,l,t
-1063.979623,1000,2.978548
-1594.176134,1000,4.022302
-916.087738,1000,6.09023
-1054.267367,1000,7.131087
-1307.813414,1000,9.283431
-572.895803,1000,10.525966
-1797.69196,1000,12.652621
-877.443615,1000,13.707281
-1051.681552,1000,15.804553
-1775.249604,1000,16.857854
-546.134435,1000,18.934926
-489.530928,1000,19.973731
-983.094703,1000,22.106052
-1182.073224,1000,23.140419
-2919.322352,1000,25.236297
-1729.567322,1000,26.291599
-862.248073,1000,28.371712
-1927.748175,1000,29.423404
-1361.143142,1000,31.50905
-1715.892597,1000,32.566362
-906.723005,1000,34.690006
-2636.972475,1000,35.743718
-630.246833,1000,37.890427
-2575.105887,1000,38.947505
-780.360471,1000,41.027436
-802.897994,1000,42.062082
-1367.438424,1000,44.144658
-1940.934589,1000,45.190008
-616.612622,1000,47.23681
-1285.744018,1000,48.268692
-533.096261,1000,50.30836
-592.337139,1000,51.336641
-1014.468019,1000,53.394135
-961.253151,1000,54.425246
-602.818498,1000,56.462528
-781.29839,1000,57.505625
-647.50386,1000,59.564749
-975.165333,1000,60.601648
-2160.166597,1000,62.686331
-550.306271,1000,63.725379
-448.88526,1000,65.787193
-693.327114,1000,66.830515
-912.255459,1000,67.870598
-1530.121639,1000,69.935368
-832.472005,1000,70.979202
-768.169819,1000,73.105073
-1111.920982,1000,74.157157
-798.251473,1000,76.252311
-548.829376,1000,77.306947
-1312.460102,1000,79.403641
-343.216712,1000,80.44625
-722.485522,1000,82.535647
-715.781007,1000,83.591529
-881.43643,1000,85.674004
-432.354696,1000,86.722169
-301.717571,1000,88.816518
-535.532863,1000,89.860884
-2237.750529,1000,91.925308
-1556.692172,1000,92.971329
-296.277268,1000,95.04934
-708.223142,1000,96.097123
-1558.141062,1000,98.16712
-329.669738,1000,99.216759
-1490.29505,1000,101.280577
-347.997043,1000,102.315289
-1456.935825,1000,104.377872
-1738.484977,1000,105.419468
-523.512101,1000,107.481643
-733.354397,1000,108.532931
-669.352697,1000,110.59767
-203.425989,1000,111.647722
-506.081501,1000,113.720484
-714.476428,1000,114.755016
-1698.755102,1000,116.84027
-612.625948,1000,117.898782
-1066.771321,1000,119.992922
-376.832686,1000,121.04882
-2723.381139,1000,123.133657
-265.910484,1000,124.186521
-855.42313,1000,126.299059
-1107.279232,1000,127.387099
-233.171713,1000,129.502197
-693.477279,1000,130.558517
-1782.968989,1000,132.6514
-154.440477,1000,133.705464
-292.256826,1000,134.772127
-330.886582,1000,136.85436
-200.890447,1000,137.918207
-75.157702,1000,140.021449
-42.140998,1000,141.079016
-947.194901,1000,143.153993
-246.331753,1000,144.198121
-427.98056,1000,146.255972
-1722.720301,1000,147.287108
-1259.421102,1000,149.335956
-766.164402,1000,150.377154
-394.870797,1000,152.42547
-638.320221,1000,153.457576
-263.764379,1000,155.509599
-462.536656,1000,156.545845
-633.57911,1000,158.626104
-263.751521,1000,159.661925
-518.498131,1000,161.740351
-39.155353,1000,162.777898
-909.110127,1000,164.827537
-300.689766,1000,165.875084
-246.663833,1000,167.946534
-304.981275,1000,168.990669
-199.952372,1000,171.202716
65.044506,1000,172.24612
-333.47819,1000,174.330118
149.221817,1000,175.387263
148.420145,1000,177.447531
101.600206,1000,178.504915
53.472889,1000,180.600609
30.357167,1000,181.650706
-280.303012,1000,183.813663
247.275836,1000,184.857503
144.322141,1000,187.042284
128.341621,1000,188.076668
267.683838,1000,190.184196
227.169807,1000,191.219681
312.768381,1000,193.338614
156.488628,1000,194.371447
17.446668,1000,196.467194
-54.435163,1000,197.522559
262.625555,1000,199.613523
120.723587,1000,200.654874
173.809159,1000,201.693017
336.059571,1000,203.747079
428.077894,1000,204.794093
327.073556,1000,206.858951
344.143664,1000,207.902869
420.210623,1000,209.970082
