#{"t_start": 1650230968.179799, "env_id": null}
r,l,t
-874.754953,1000,4.761003
-759.697201,1000,13.087407
-356.951487,1000,21.305981
-767.6511,1000,29.480048
-772.207211,1000,37.742939
-38.103778,1000,45.798263
174.520684,1000,54.076154
-340.814244,1000,62.219536
-46.860456,1000,70.462405
349.810989,1000,78.714206
350.988752,1000,86.934059
-1032.210609,1000,95.313124
-415.141279,1000,103.691063
215.499008,1000,112.091773
322.408303,1000,120.341842
-640.647542,1000,128.647428
375.685597,1000,136.974263
178.149133,1000,145.307335
336.409832,1000,153.558493
414.484557,1000,161.795078
491.324788,1000,170.115249
407.757606,1000,178.335084
-45.429313,1000,186.679832
554.506944,1000,194.880158
753.279493,1000,203.121958
545.755604,1000,211.391261
721.946244,1000,219.585583
749.123989,1000,227.798718
653.522929,1000,236.035529
718.025266,1000,244.228406
590.678091,1000,252.527463
655.239381,1000,260.756759
777.197703,1000,269.041272
656.358797,1000,277.249993
731.914631,1000,285.440388
698.123113,1000,293.72429
803.328716,1000,301.979016
863.972783,1000,310.122296
864.379765,1000,318.496325
694.037107,1000,326.664051
910.321674,1000,334.839129
989.927742,1000,343.19185
904.102121,1000,351.567245
869.510286,1000,359.916502
836.751618,1000,368.133024
875.015862,1000,376.485466
105.62148,1000,384.79058
900.526673,1000,393.121888
898.274584,1000,401.289631
876.790858,1000,409.514919
987.975907,1000,417.693258
1030.796473,1000,425.945226
1066.095053,1000,434.03277
954.974308,1000,442.205225
916.672777,1000,450.338096
1001.775697,1000,458.580742
1060.594587,1000,466.902588
1049.926857,1000,475.177516
1027.573191,1000,483.527653
1087.597794,1000,491.836892
723.368181,1000,500.053444
1028.252261,1000,508.340684
1030.006403,1000,516.662719
1004.15098,1000,524.934602
819.988589,1000,533.29633
1083.658181,1000,541.609726
975.620847,1000,549.820837
1050.309465,1000,558.226347
1221.360481,1000,566.55923
1140.12979,1000,574.899215
1129.822087,1000,582.965306
989.669642,1000,590.598344
1023.93344,1000,598.589011
998.559687,1000,606.2815
1076.991731,1000,614.023582
1145.085674,1000,621.729797
1185.550397,1000,629.386113
1165.550916,1000,636.905628
985.669007,1000,644.671276
1112.530441,1000,652.314774
979.072267,1000,660.263914
1044.129555,1000,668.096335
519.019534,1000,676.070554
1070.729781,1000,683.924383
1098.722271,1000,691.876061
1122.459836,1000,699.840627
1060.324662,1000,707.621051
1061.715004,1000,715.6736
1099.611261,1000,723.726816
1193.092566,1000,731.676401
1064.344515,1000,739.571152
1089.399712,1000,747.503026
999.679161,1000,755.491527
1034.990261,1000,763.376687
1133.842025,1000,771.260342
1122.877389,1000,778.998216
1120.602229,1000,786.96234
1129.086284,1000,795.025101
1211.670345,1000,802.574234
1149.995075,1000,810.108179
1143.014938,1000,818.027919
1093.169728,1000,825.99456
1111.966529,1000,834.01215
1087.013727,1000,841.937843
1116.844914,1000,849.609494
1095.129431,1000,857.597301
1273.172959,1000,865.543669
1050.732269,1000,873.476835
1069.847846,1000,881.486745
1222.947083,1000,889.220992
1177.868052,1000,897.206872
982.396685,1000,905.249838
1159.630868,1000,913.324808
1175.683363,1000,921.357346
1143.231002,1000,929.111247
1177.257047,1000,937.034168
1226.510502,1000,944.983722
1166.078036,1000,952.809698
1179.996305,1000,960.82458
1230.654229,1000,968.714388
1181.149002,1000,976.57352
1136.481901,1000,984.488168
1104.94969,1000,992.460335
