#{"t_start": 1649778526.4451792, "env_id": "Ant_mini_sensor-v0"}
r,l,t
627.031686,1000,3.351433
-1054.845933,1000,8.235924
-1434.280894,1000,13.038132
-804.688803,1000,17.822565
-1426.870533,1000,22.606165
-875.7744,1000,27.45393
57.069037,1000,32.306028
-2370.217966,1000,37.205954
-620.102593,1000,42.286261
-256.106466,1000,47.044527
-212.43741,1000,51.822996
12.222005,1000,56.65299
-413.85605,1000,61.419225
-1896.805675,1000,66.316756
345.445882,1000,71.227816
-1204.291569,1000,76.212331
-2131.077625,1000,81.100312
-801.152781,1000,85.98655
-835.852961,1000,90.776984
-1177.968589,1000,95.608356
-737.01554,1000,100.438991
-1144.005986,1000,105.311494
-527.225652,1000,110.173694
139.826911,1000,115.085434
478.232836,1000,119.969781
423.761822,1000,124.78242
922.888004,1000,129.653762
983.780307,1000,134.51242
228.955617,1000,139.345561
-135.628522,1000,144.241613
695.129007,1000,149.070185
1150.291274,1000,153.943183
1275.537099,1000,158.736861
1260.131243,1000,163.608794
1293.677778,1000,168.519264
1414.456788,1000,173.362491
1483.198695,1000,178.186826
1566.692564,1000,183.017162
1609.997629,1000,187.842485
1536.446878,1000,192.671206
1411.781502,1000,197.52309
1691.170956,1000,202.310178
1747.9037,1000,207.08609
1685.448312,1000,211.852124
1369.687307,1000,216.635928
1694.179356,1000,221.486512
1637.597245,1000,226.317261
1572.829561,1000,231.130301
1547.702582,1000,236.109235
1725.554542,1000,241.003444
1750.381629,1000,245.887574
1768.684553,1000,250.772278
1569.928634,1000,255.690323
1733.298414,1000,260.564485
1734.575033,1000,265.627863
1819.272479,1000,270.579077
1673.437862,1000,275.391333
1762.533765,1000,280.276882
1768.022542,1000,285.099818
1892.292852,1000,290.13027
1748.890363,1000,294.963789
1807.853222,1000,299.788535
1805.016013,1000,304.648359
1803.217097,1000,309.456095
1708.142736,1000,314.227601
1800.21735,1000,319.015176
1860.340841,1000,323.799175
1898.647047,1000,328.588993
1783.871029,1000,333.41224
1838.296973,1000,338.220468
1913.184997,1000,343.040979
1883.950559,1000,347.841023
1865.44511,1000,352.641454
1787.987504,1000,357.458882
1789.99342,1000,362.27942
1834.927539,1000,367.118353
1818.304547,1000,371.926002
1882.227508,1000,376.858615
1875.12704,1000,381.768481
1869.766655,1000,386.609374
1822.739517,1000,391.469819
1911.409736,1000,396.394494
1885.786168,1000,401.15705
1825.742331,1000,405.928553
1917.821848,1000,410.714031
1889.540698,1000,415.507463
1897.467653,1000,420.469968
1900.144991,1000,425.327311
1908.508973,1000,430.171281
1923.973201,1000,435.155359
1907.414283,1000,439.997571
1922.100252,1000,444.818074
1832.907783,1000,449.648844
1939.205995,1000,454.472737
1829.28318,1000,459.394542
1921.776472,1000,464.255956
1833.596919,1000,469.075745
1866.916042,1000,473.907655
1852.739122,1000,478.734343
1923.622222,1000,483.560956
1946.842546,1000,488.425668
1952.832228,1000,493.277199
1946.596417,1000,498.154284
1916.688189,1000,503.069687
1959.6044,1000,507.859008
1901.351359,1000,512.661409
1962.607033,1000,517.494301
1908.77505,1000,522.335782
1864.983775,1000,527.127821
1874.394649,1000,531.932211
