#{"t_start": 1649916744.187719, "env_id": null}
r,l,t
486.576375,1000,2.681328
-984.08055,1000,7.298995
-1242.193777,1000,11.842731
-909.499106,1000,16.340106
-1215.720341,1000,20.955224
-1232.359552,1000,25.501116
-861.396425,1000,30.024163
-3820.736363,1000,34.666704
-783.440258,1000,39.341398
-504.395888,1000,44.060282
465.587123,1000,48.664124
361.327869,1000,53.210442
178.989463,1000,57.809416
-200.736481,1000,62.460438
-960.085594,1000,67.070307
482.053343,1000,71.65529
252.829576,1000,76.223162
334.974981,1000,80.847424
-132.647387,1000,85.479122
181.069987,1000,89.976538
-55.203896,1000,94.546894
234.331964,1000,99.194052
548.552239,1000,103.786025
687.622517,1000,108.418202
685.357959,1000,113.297795
475.70648,1000,118.086591
397.954509,1000,122.745531
540.033616,1000,127.340865
486.004614,1000,131.966596
166.742745,1000,136.563121
322.562029,1000,141.154159
-1574.199188,1000,145.750036
-1021.014706,1000,150.379524
-46.306178,1000,154.895607
491.683793,1000,159.471483
443.062263,1000,164.112973
492.978489,1000,168.706159
523.796397,1000,173.392951
792.502294,1000,177.977629
883.132993,1000,182.519213
721.913864,1000,187.132777
767.448923,1000,192.06926
767.581304,1000,196.650496
-1073.111166,1000,201.248711
748.791486,1000,205.861049
824.554938,1000,210.58467
743.915973,1000,215.12817
847.672706,1000,219.69949
985.355101,1000,224.238453
971.526867,1000,228.814776
1122.299923,1000,233.423346
1161.902491,1000,238.006916
976.280007,1000,242.717989
1091.813277,1000,247.271412
867.252072,1000,251.885507
1250.03217,1000,256.469439
1336.852785,1000,261.030296
1374.330795,1000,265.552518
1521.06952,1000,270.132923
1355.182603,1000,274.700063
1267.401074,1000,279.302925
1514.793565,1000,283.838348
1434.638705,1000,288.422123
1506.681272,1000,292.995248
1558.117776,1000,297.635695
1571.577953,1000,302.227846
1684.828969,1000,306.788492
1594.194562,1000,311.352828
1562.315116,1000,315.941427
1696.624844,1000,320.532541
1628.072015,1000,325.155082
1699.418056,1000,329.791723
1698.530039,1000,334.422904
1648.455915,1000,338.940379
1635.047077,1000,343.517767
1629.259251,1000,348.079481
1642.820562,1000,352.582467
1685.153746,1000,357.130286
1539.069711,1000,361.666153
1726.05268,1000,366.181872
1663.701579,1000,370.709895
1633.073913,1000,375.235807
1621.572198,1000,379.78173
1645.674575,1000,384.310915
1730.375249,1000,388.796729
1668.356688,1000,393.523343
1634.485536,1000,398.163899
1766.409923,1000,402.72558
1741.525782,1000,407.269214
1733.860624,1000,411.845865
1787.561951,1000,416.470901
1685.614882,1000,420.991371
1750.443953,1000,425.488348
1759.930394,1000,430.072011
1753.196253,1000,434.611278
1730.517454,1000,439.327654
1783.51853,1000,443.997967
1746.730819,1000,448.569802
1812.540536,1000,453.128366
1713.612326,1000,457.767804
1862.573775,1000,462.342609
1748.293974,1000,466.891134
1729.505633,1000,471.421345
1867.407571,1000,475.966682
1776.97813,1000,480.546282
1816.047749,1000,485.254753
1860.08574,1000,489.787498
1842.469365,1000,494.298972
1865.930055,1000,498.804181
1821.786336,1000,503.335182
1878.624966,1000,508.067546
1891.132099,1000,512.624508
1824.650782,1000,517.221358
1890.639886,1000,521.77211
1930.954579,1000,526.475081
1854.505308,1000,531.021379
1861.585515,1000,535.563596
1871.883768,1000,540.096091
1841.38425,1000,544.640521
1914.14207,1000,549.215585
1902.757,1000,553.808867
1817.285144,1000,558.376406
1835.764901,1000,562.922273
1847.961809,1000,567.540123
1860.838457,1000,572.195138
1850.248714,1000,576.75366
1825.058314,1000,581.340773
1914.210349,1000,585.93464
1856.234595,1000,590.485149
1839.366688,1000,595.079144
1789.265633,1000,599.716213
1875.780739,1000,604.317114
1877.757421,1000,608.845359
1887.582172,1000,613.380808
1841.057529,1000,617.863826
1822.994177,1000,622.444512
1901.145751,1000,627.008382
1962.178138,1000,631.528533
1892.031261,1000,636.088999
1859.12664,1000,640.718573
1894.965784,1000,645.32087
